Kod;Elementarne grupy zawodów;Bezrobotni ogółem - napływ w okresie;Bezrobotni ogółem - odpływ w okresie;Bezrobotni ogółem - stan na koniec okresu;Bezrobotni długotrwale - stan na koniec okresu;Napływ ofert pracy w okresie;Napływ ofert pracy w okresie - Internet;Napływ ofert pracy w okresie - OHP (CBOP);Stan ofert na koniec poprzedniego okresu - CBOP (PUP+OHP+EURES) i Internet;Odsetek ofert subsydiowanych w CBOP (%);Odsetek miejsc aktywizacji zawodowej (%);Średniomiesięczna liczba bezrobotnych w danej gr. zawodów;Średniomiesięczna liczba ofert pracy w danej gr. zawodów;wskaźnik dostępności ofert pracy;wskaźnik długotrwałego bezrobocia;wskaźnik płynności bezrobotnych;Deficyt/ równowaga/ nadwyżka - rok;Czy uwzględniono w inf. sygnalnej;Wartość wskaźnika struktury sumy bezrobotnych i ofert pracy
110;Oficerowie sił zbrojnych;33;38;34;16;0;0;0;0;;0,00;42,6667;0,0000;;47,0588;1,1515;-;Nie;0,0000299390
210;Podoficerowie sił zbrojnych;5;9;3;1;0;0;0;0;;0,00;5,1667;0,0000;;33,3333;1,8000;-;Nie;0,0000036254
310;Żołnierze szeregowi;727;898;616;262;1;0;0;1;0,00;0,00;739,0000;1,1667;633,4286;42,5325;1,2352;-;Nie;0,0005193715
1111;Przedstawiciele władz publicznych;7;6;13;6;0;0;0;0;;0,00;13,5000;0,0000;;46,1538;0,8571;-;Nie;0,0000094729
1112;Wyżsi urzędnicy administracji rządowej;16;21;16;5;3;0;0;2;33,33;33,33;18,1667;2,5000;7,2667;31,2500;1,3125;-;Nie;0,0000145017
1113;Wyżsi urzędnicy władz samorządowych;7;14;12;7;12;0;0;0;58,33;58,33;18,0000;2,0000;9,0000;58,3333;2,0000;-;Nie;0,0000140339
1114;Zawodowi działacze organizacji członkowskich;5;7;2;0;6;0;0;0;100,00;100,00;3,1667;1,0000;3,1667;0,0000;1,4000;-;Nie;0,0000029237
1120;Dyrektorzy generalni i zarządzający;1306;1435;2079;1032;443;1405;0;168;4,06;0,68;2201,6667;476,0000;4,6254;49,6392;1,0988;-;Nie;0,0018789063
1211;Kierownicy do spraw finansowych;245;254;302;104;334;1233;0;172;4,19;0,90;302,8333;433,1667;0,6991;34,4371;1,0367;deficyt;Tak;0,0005164478
1212;Kierownicy do spraw zarządzania zasobami ludzkimi;183;191;216;87;130;351;5;45;6,92;0,77;220,3333;125,1667;1,7603;40,2778;1,0437;-;Nie;0,0002424358
1213;Kierownicy do spraw strategii i planowania;397;446;589;286;225;1463;0;117;1,78;0,44;619,6667;398,3333;1,5556;48,5569;1,1234;-;Nie;0,0007143259
1219;Kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani;606;657;790;345;386;1683;5;216;8,55;1,55;819,8333;560,8333;1,4618;43,6709;1,0842;-;Nie;0,0009688074
1221;Kierownicy do spraw marketingu i sprzedaży;1004;1119;1265;527;338;4692;2;444;20,12;2,96;1343,3333;1 282,3333;1,0476;41,6601;1,1145;równowaga;Tak;0,0018424182
1222;Kierownicy do spraw reklamy i public relations;51;64;78;41;15;51;0;5;46,67;33,33;86,5000;16,0000;5,4063;52,5641;1,2549;-;Nie;0,0000719238
1223;Kierownicy do spraw badań i rozwoju;53;61;74;37;51;211;0;27;9,80;3,92;78,1667;70,6667;1,1061;50,0000;1,1509;-;Nie;0,0001044357
1311;Kierownicy produkcji w rolnictwie i leśnictwie;42;53;51;25;45;0;0;3;13,33;2,22;58,3333;10,5000;5,5556;49,0196;1,2619;-;Nie;0,0000483000
1312;Kierownicy produkcji w zakładach akwakultury i rybołówstwie;2;5;1;1;1;0;0;0;0,00;0,00;2,8333;0,1667;17,0000;100,0000;2,5000;-;Nie;0,0000021051
1321;Kierownicy do spraw produkcji przemysłowej;355;409;387;155;540;1301;19;228;7,04;0,37;420,0000;534,8333;0,7853;40,0517;1,1521;deficyt;Tak;0,0006700021
1322;Kierownicy w górnictwie;13;14;15;9;4;0;0;0;0,00;0,00;15,5000;0,6667;23,2500;60,0000;1,0769;-;Nie;0,0000113441
1323;Kierownicy do spraw budownictwa;572;680;707;358;701;1035;4;107;7,42;1,71;809,6667;396,3333;2,0429;50,6365;1,1888;-;Nie;0,0008462446
1324;Kierownicy do spraw logistyki i dziedzin pokrewnych;512;586;626;294;327;1197;2;163;10,40;2,45;681,3333;417,0000;1,6339;46,9649;1,1445;-;Nie;0,0007706954
1330;Kierownicy do spraw technologii informatycznych i telekomunikacyjnych;106;99;120;59;213;387;0;63;1,88;0,47;123,6667;163,0000;0,7587;49,1667;0,9340;-;Nie;0,0002011527
1341;Kierownicy w instytucjach opieki nad dziećmi;15;22;18;8;20;32;0;3;25,00;5,00;21,6667;11,6667;1,8571;44,4444;1,4667;-;Nie;0,0000233898
1342;Kierownicy w instytucjach opieki zdrowotnej;13;13;22;11;12;31;0;7;16,67;8,33;24,5000;14,1667;1,7294;50,0000;1,0000;-;Nie;0,0000271322
1343;Kierownicy w instytucjach opieki nad osobami starszymi;1;1;1;0;2;0;0;0;0,00;0,00;1,0000;0,3333;3,0000;0,0000;1,0000;-;Nie;0,0000009356
1344;Kierownicy w instytucjach pomocy społecznej;7;10;6;2;21;0;1;0;4,76;4,76;7,0000;3,5000;2,0000;33,3333;1,4286;-;Nie;0,0000073678
1345;Kierownicy w instytucjach edukacyjnych;25;22;47;15;18;0;2;5;0,00;0,00;45,8333;8,0000;5,7292;31,9149;0,8800;-;Nie;0,0000377746
1346;Kierownicy w instytucjach finansowych i ubezpieczeniowych;95;93;112;42;39;478;4;62;2,56;0,00;116,3333;148,1667;0,7852;37,5000;0,9789;-;Nie;0,0001855984
1349;Kierownicy w instytucjach usług wyspecjalizowanych gdzie indziej niesklasyfikowani;228;249;399;220;29;52;0;14;27,59;13,79;434,5000;27,5000;15,8000;55,1378;1,0921;-;Nie;0,0003241833
1411;Kierownicy w hotelarstwie;116;147;166;78;64;122;1;11;20,31;3,13;188,5000;42,0000;4,4881;46,9880;1,2672;-;Nie;0,0001617408
1412;Kierownicy w gastronomii;347;368;331;106;314;241;2;73;20,38;3,82;366,3333;165,5000;2,2135;32,0242;1,0605;-;Nie;0,0003731850
1420;Kierownicy w handlu detalicznym i hurtowym;1014;1031;1072;306;453;3665;0;492;15,01;2,21;1129,3333;1 178,3333;0,9584;28,5448;1,0168;równowaga;Tak;0,0016192790
1431;Kierownicy do spraw sportu, rekreacji i rozrywki;65;76;79;31;28;14;0;16;64,29;14,29;89,0000;23,0000;3,8696;39,2405;1,1692;-;Nie;0,0000785899
1439;Kierownicy do spraw innych typów usług gdzie indziej niesklasyfikowani;1619;1682;2076;878;325;441;7;82;7,38;1,85;2189,5000;209,6667;10,4428;42,2929;1,0389;-;Nie;0,0016834842
2111;Fizycy i astronomowie;200;207;234;108;17;19;0;0;23,53;23,53;247,3333;6,0000;41,2222;46,1538;1,0350;-;Nie;0,0001777628
2112;Meteorolodzy;6;13;4;2;14;0;0;3;35,71;35,71;7,8333;5,3333;1,4688;50,0000;2,1667;-;Nie;0,0000092390
2113;Chemicy;775;932;922;470;123;139;0;34;37,40;32,52;1024,3333;77,6667;13,1888;50,9761;1,2026;-;Nie;0,0007732683
2114;Specjaliści nauk o Ziemi;841;993;733;290;38;18;0;3;65,79;44,74;838,6667;12,3333;68,0000;39,5634;1,1807;-;Nie;0,0005971428
2120;Matematycy, aktuariusze i statystycy;605;680;587;280;50;182;0;13;74,00;68,00;636,8333;51,6667;12,3258;47,7002;1,1240;-;Nie;0,0004831173
2131;Biolodzy i pokrewni;1304;1753;1099;446;126;63;0;15;56,35;48,41;1299,6667;46,5000;27,9498;40,5823;1,3443;-;Nie;0,0009445989
2132;Specjaliści w zakresie rolnictwa, leśnictwa i pokrewni;2114;2786;2454;1288;202;608;1;17;60,40;49,01;2832,5000;152,0000;18,6349;52,4857;1,3179;-;Nie;0,0020942099
2133;Specjaliści do spraw ochrony środowiska;1290;1595;1131;529;189;404;0;32;62,96;49,74;1309,5000;130,8333;10,0089;46,7728;1,2364;-;Nie;0,0010106752
2141;Inżynierowie do spraw przemysłu i produkcji;1595;1722;1352;519;954;4815;2;670;16,88;12,05;1454,0000;1 631,5000;0,8912;38,3876;1,0796;deficyt;Tak;0,0021650811
