Kod;Elementarne grupy zawodów;Bezrobotni ogółem - napływ w okresie;Bezrobotni ogółem - odpływ w okresie;Bezrobotni ogółem - stan na koniec okresu;Bezrobotni długotrwale - stan na koniec okresu;Napływ ofert pracy w okresie - CBOP (PUP+OHP+EURES);Napływ ofert pracy w okresie - Internet;Napływ ofert pracy w okresie - OHP (CBOP);Stan ofert na koniec poprzedniego okresu - CBOP (PUP+OHP+EURES) i Internet;Odsetek ofert subsydiowanych w CBOP (PUP+OHP+EURES) (%);Odsetek miejsc aktywizacji zawodowej (%);Średniomiesięczna liczba bezrobotnych w danej gr. zawodów;Średniomiesięczna liczba ofert pracy w danej gr. zawodów;wskaźnik dostępności ofert pracy;wskaźnik długotrwałego bezrobocia;wskaźnik płynności bezrobotnych;Deficyt/ równowaga/ nadwyżka  - rok;Czy uwzględniono w inf. sygnalnej;Wartość wskaźnika struktury sumy bezrobotnych i ofert pracy;
0110;Oficerowie sił zbrojnych;41;40;50;27;0;0;0;0;;0,00;50,8333;0,0000;;54,0000;0,9756;max nadwyżka;Tak;0,0000315173;
0210;Podoficerowie sił zbrojnych;11;12;9;5;0;0;0;0;;0,00;8,8333;0,0000;;55,5556;1,0909;-;Nie;0,0000054768;
0310;Żołnierze szeregowi;944;1039;926;411;0;0;0;0;;0,00;914,3333;0,0000;;44,3844;1,1006;-;Nie;0,0005668975;
1111;Przedstawiciele władz publicznych;10;16;13;3;1;14;0;3;100,00;100,00;15,5000;5,5000;2,8182;23,0769;1,6000;-;Nie;0,0000130202;
1112;Wyżsi urzędnicy administracji rządowej;21;16;23;7;2;139;0;3;0,00;0,00;20,3333;26,5000;0,7673;30,4348;0,7619;-;Nie;0,0000290372;
1113;Wyżsi urzędnicy władz samorządowych;32;33;25;7;1;0;0;2;0,00;0,00;26,5000;2,1667;12,2308;28,0000;1,0313;-;Nie;0,0000177737;
1114;Zawodowi działacze organizacji członkowskich;4;2;4;0;2;0;0;1;50,00;50,00;3,8333;1,3333;2,8750;0,0000;0,5000;-;Nie;0,0000032034;
1120;Dyrektorzy generalni i zarządzający;1448;1485;2318;1086;370;1038;0;461;3,78;0,00;2360,8333;695,6667;3,3936;46,8507;1,0256;-;Nie;0,0018950661;
1211;Kierownicy do spraw finansowych;269;273;365;138;234;563;0;321;7,26;0,85;387,0000;453,8333;0,8527;37,8082;1,0149;deficyt;Tak;0,0005213266;
1212;Kierownicy do spraw zarządzania zasobami ludzkimi;206;188;263;108;104;147;0;125;5,77;2,88;249,0000;166,8333;1,4925;41,0646;0,9126;-;Nie;0,0002578216;
1213;Kierownicy do spraw strategii i planowania;527;560;754;339;50;306;0;108;8,00;2,00;762,1667;167,3333;4,5548;44,9602;1,0626;-;Nie;0,0005763010;
1219;Kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani;661;700;904;417;271;680;0;431;8,49;4,06;912,5000;589,5000;1,5479;46,1283;1,0590;-;Nie;0,0009312577;
1221;Kierownicy do spraw marketingu i sprzedaży;1266;1431;1567;659;435;1439;0;937;14,71;3,45;1604,3333;1 249,3333;1,2842;42,0549;1,1303;-;Nie;0,0017693070;
1222;Kierownicy do spraw reklamy i public relations;67;69;87;34;10;14;0;12;40,00;20,00;93,1667;16,0000;5,8229;39,0805;1,0299;-;Nie;0,0000676846;
1223;Kierownicy do spraw badań i rozwoju;62;54;87;38;51;70;0;57;19,61;3,92;86,3333;77,1667;1,1188;43,6782;0,8710;-;Nie;0,0001013719;
1311;Kierownicy produkcji w rolnictwie i leśnictwie;40;38;49;17;24;15;0;14;8,33;4,17;48,5000;20,5000;2,3659;34,6939;0,9500;-;Nie;0,0000427808;
1312;Kierownicy produkcji w zakładach akwakultury i rybołówstwie;2;0;5;2;2;0;0;0;0,00;0,00;4,8333;0,3333;14,5000;40,0000;0,0000;-;Nie;0,0000032034;
1321;Kierownicy do spraw produkcji przemysłowej;363;406;440;187;465;854;0;368;6,67;1,72;454,3333;587,8333;0,7729;42,5000;1,1185;deficyt;Tak;0,0006461556;
1322;Kierownicy w górnictwie;13;11;18;6;7;0;0;0;0,00;0,00;17,3333;1,1667;14,8571;33,3333;0,8462;-;Nie;0,0000114702;
1323;Kierownicy do spraw budownictwa;625;701;911;446;447;269;0;201;8,28;2,68;906,6667;320,3333;2,8304;48,9572;1,1216;-;Nie;0,0007607545;
1324;Kierownicy do spraw logistyki i dziedzin pokrewnych;568;625;810;335;239;299;0;252;12,13;3,35;835,5000;341,6667;2,4454;41,3580;1,1004;-;Nie;0,0007298572;
1330;Kierownicy do spraw technologii informatycznych i telekomunikacyjnych;66;80;121;60;143;223;0;166;0,00;0,00;123,6667;227,0000;0,5448;49,5868;1,2121;deficyt;Tak;0,0002174175;
1341;Kierownicy w instytucjach opieki nad dziećmi;23;21;21;3;20;14;0;16;20,00;5,00;22,6667;21,6667;1,0462;14,2857;0,9130;-;Nie;0,0000274872;
1342;Kierownicy w instytucjach opieki zdrowotnej;7;9;23;11;6;58;0;23;33,33;0,00;21,6667;33,6667;0,6436;47,8261;1,2857;deficyt;Tak;0,0000343073;
1343;Kierownicy w instytucjach opieki nad osobami starszymi;2;2;1;1;4;0;0;0;25,00;25,00;0,8333;0,6667;1,2500;100,0000;1,0000;-;Nie;0,0000009300;
1344;Kierownicy w instytucjach pomocy społecznej;8;5;7;3;11;0;0;5;0,00;0,00;6,8333;6,8333;1,0000;42,8571;0,6250;-;Nie;0,0000084735;
1345;Kierownicy w instytucjach edukacyjnych;34;38;37;14;16;19;0;31;18,75;6,25;39,1667;36,8333;1,0633;37,8378;1,1176;równowaga;Tak;0,0000471209;
1346;Kierownicy w instytucjach finansowych i ubezpieczeniowych;100;89;139;55;21;101;0;129;0,00;0,00;135,5000;149,3333;0,9074;39,5683;0,8900;-;Nie;0,0001766000;
1349;Kierownicy w instytucjach usług wyspecjalizowanych gdzie indziej niesklasyfikowani;292;380;546;294;30;34;0;38;0,00;0,00;571,3333;48,6667;11,7397;53,8462;1,3014;-;Nie;0,0003844073;
1411;Kierownicy w hotelarstwie;162;145;210;98;44;46;0;29;20,45;11,36;200,0000;44,0000;4,5455;46,6667;0,8951;-;Nie;0,0001512829;
1412;Kierownicy w gastronomii;325;311;342;102;129;125;0;56;19,38;6,20;332,5000;98,3333;3,3814;29,8246;0,9569;-;Nie;0,0002671218;
