Kod;Elementarne grupy zawodów;Bezrobotni ogółem - napływ w okresie;Bezrobotni ogółem- odpływ w okresie;Bezrobotni ogółem - stan na koniec okresu;Bezrobotni długotrwale -stan na koniec okresu;Napływ ofert pracy w okresie - CBOP (PUP+OHP+EURES);Napływ ofert pracy w okresie - Internet;Napływ ofert pracy w okresie -OHP (CBOP);Stan ofert na koniec poprzedniego okresu -CBOP (PUP+OHP+EURES) i Internet;Odsetek ofert subsydiowanych w CBOP (PUP+OHP+EURES) (%);Odsetek miejsc aktywizacji zawodowej (%);Średniomiesięczna liczba bezrobotnych w danej gr. zawodów;Średniomiesięczna liczba ofert pracy w danej gr. zawodów;wskaźnik dostępności ofert pracy;wskaźnik długotrwałego bezrobocia;wskaźnik płynności bezrobotnych;Deficyt/ równowaga/ nadwyżka - rok;Czy uwzględniono w inf. sygnalnej;Wartość wskaźnika struktury sumy bezrobotnych i ofert pracy;
0110;Oficerowie sił zbrojnych;33;35;41;21;0;0;0;0;;0,00;42,0000;0,0000;;51,2195;1,0606;-;Nie;0,0000276191;
0210;Podoficerowie sił zbrojnych;13;13;6;3;0;0;0;0;;0,00;6,8333;0,0000;;50,0000;1,0000;-;Nie;0,0000044936;
0310;Żołnierze szeregowi;775;902;779;340;0;0;0;1;;0,00;773,3333;1,0000;773,3333;43,6457;1,1639;-;Nie;0,0005091990;
1111;Przedstawiciele władz publicznych;7;14;13;6;0;0;0;0;;0,00;15,0000;0,0000;;46,1538;2,0000;-;Nie;0,0000098639;
1112;Wyżsi urzędnicy administracji rządowej;32;26;20;7;3;0;0;0;0,00;0,00;22,3333;0,5000;44,6667;35,0000;0,8125;-;Nie;0,0000150151;
1113;Wyżsi urzędnicy władz samorządowych;15;15;20;9;0;0;0;2;;0,00;20,8333;2,0000;10,4167;45,0000;1,0000;-;Nie;0,0000150151;
1114;Zawodowi działacze organizacji członkowskich;5;5;4;0;2;0;0;0;100,00;100,00;3,5000;0,3333;10,5000;0,0000;1,0000;-;Nie;0,0000025208;
1120;Dyrektorzy generalni i zarządzający;1285;1426;2191;1099;376;1750;1;228;5,85;0,00;2220,6667;582,3333;3,8134;50,1597;1,1097;-;Nie;0,0018432432;
1211;Kierownicy do spraw finansowych;274;286;316;107;320;1383;0;192;7,50;0,63;326,0000;475,8333;0,6851;33,8608;1,0438;deficyt;Tak;0,0005272829;
1212;Kierownicy do spraw zarządzania zasobami ludzkimi;191;229;224;85;122;437;1;72;7,38;0,00;241,5000;165,1667;1,4622;37,9464;1,1990;-;Nie;0,0002674226;
1213;Kierownicy do spraw strategii i planowania;418;498;635;302;66;1301;0;126;15,15;0,00;661,1667;353,8333;1,8686;47,5591;1,1914;-;Nie;0,0006674605;
1219;Kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani;628;673;838;381;390;2102;3;250;7,44;1,54;842,1667;665,3333;1,2658;45,4654;1,0717;-;Nie;0,0009913268;
1221;Kierownicy do spraw marketingu i sprzedaży;1069;1166;1366;594;376;4215;0;418;17,55;2,93;1403,8333;1 183,1667;1,1865;43,4846;1,0907;-;Nie;0,0017012024;
1222;Kierownicy do spraw reklamy i public relations;75;70;89;38;7;58;0;15;42,86;14,29;86,1667;25,8333;3,3355;42,6966;0,9333;-;Nie;0,0000736508;
1223;Kierownicy do spraw badań i rozwoju;50;57;82;38;54;283;0;42;7,41;3,70;82,1667;98,1667;0,8370;46,3415;1,1400;deficyt;Tak;0,0001185866;
1311;Kierownicy produkcji w rolnictwie i leśnictwie;40;33;63;20;33;15;0;8;12,12;0,00;58,8333;16,0000;3,6771;31,7460;0,8250;-;Nie;0,0000492101;
1312;Kierownicy produkcji w zakładach akwakultury i rybołówstwie;3;2;4;2;3;0;0;1;0,00;0,00;3,3333;1,5000;2,2222;50,0000;0,6667;-;Nie;0,0000031784;
1321;Kierownicy do spraw produkcji przemysłowej;328;345;435;173;476;1492;6;331;6,09;0,84;435,8333;659,0000;0,6614;39,7701;1,0518;deficyt;Tak;0,0007199587;
1322;Kierownicy w górnictwie;8;9;17;8;3;0;0;0;0,00;0,00;16,6667;0,5000;33,3333;47,0588;1,1250;-;Nie;0,0000112887;
1323;Kierownicy do spraw budownictwa;548;627;814;393;443;501;0;148;7,67;0,45;817,3333;305,3333;2,6769;48,2801;1,1442;-;Nie;0,0007382618;
1324;Kierownicy do spraw logistyki i dziedzin pokrewnych;485;530;700;313;211;1373;3;176;12,32;0,95;712,6667;440,0000;1,6197;44,7143;1,0928;-;Nie;0,0007579897;
1330;Kierownicy do spraw technologii informatycznych i telekomunikacyjnych;75;80;115;60;256;531;0;64;1,17;0,39;116,6667;195,1667;0,5978;52,1739;1,0667;-;Nie;0,0002050605;
1341;Kierownicy w instytucjach opieki nad dziećmi;27;29;25;7;30;0;0;5;13,33;0,00;28,6667;10,0000;2,8667;28,0000;1,0741;-;Nie;0,0000254271;
1342;Kierownicy w instytucjach opieki zdrowotnej;13;16;21;12;9;45;0;11;11,11;0,00;23,3333;20,0000;1,1667;57,1429;1,2308;-;Nie;0,0000284959;
1343;Kierownicy w instytucjach opieki nad osobami starszymi;2;2;1;1;1;0;0;0;0,00;0,00;1,6667;0,1667;10,0000;100,0000;1,0000;-;Nie;0,0000012056;
1344;Kierownicy w instytucjach pomocy społecznej;11;10;9;2;10;0;0;1;10,00;0,00;8,6667;2,6667;3,2500;22,2222;0,9091;-;Nie;0,0000074528;
1345;Kierownicy w instytucjach edukacyjnych;32;29;42;12;16;29;0;36;6,25;0,00;43,0000;43,5000;0,9885;28,5714;0,9063;-;Nie;0,0000568821;
1346;Kierownicy w instytucjach finansowych i ubezpieczeniowych;81;99;114;54;30;651;0;47;6,67;6,67;118,1667;160,5000;0,7362;47,3684;1,2222;deficyt;Tak;0,0001832502;
1349;Kierownicy w instytucjach usług wyspecjalizowanych gdzie indziej niesklasyfikowani;253;305;425;247;36;95;0;15;13,89;2,78;437,0000;36,8333;11,8643;58,1176;1,2055;-;Nie;0,0003115912;
1411;Kierownicy w hotelarstwie;142;144;200;80;43;72;1;15;11,63;2,33;198,1667;34,1667;5,8000;40,0000;1,0141;-;Nie;0,0001527816;
1412;Kierownicy w gastronomii;360;372;349;127;262;377;4;55;21,37;3,82;366,8333;161,5000;2,2714;36,3897;1,0333;-;Nie;0,0003474302;
1420;Kierownicy w handlu detalicznym i hurtowym;1070;1063;1077;278;562;3744;36;527;7,47;0,89;1090,5000;1 244,6667;0,8761;25,8124;0,9935;-;Nie;0,0015355976;
1431;Kierownicy do spraw sportu, rekreacji i rozrywki;81;70;86;27;14;154;0;3;64,29;7,14;80,1667;31,0000;2,5860;31,3953;0,8642;-;Nie;0,0000731028;
1439;Kierownicy do spraw innych typów usług gdzie indziej niesklasyfikowani;1530;1518;2125;929;273;613;0;95;7,69;0,00;2088,1667;242,6667;8,6051;43,7176;0,9922;-;Nie;0,0015327480;
2111;Fizycy i astronomowie;233;234;236;107;11;0;0;0;54,55;54,55;240,5000;1,8333;131,1818;45,3390;1,0043;-;Nie;0,0001593576;
2112;Meteorolodzy;9;12;11;5;7;0;0;2;71,43;71,43;8,3333;3,1667;2,6316;45,4545;1,3333;-;Nie;0,0000075624;
2113;Chemicy;1136;1182;1074;523;123;236;0;39;40,65;30,89;1108,8333;98,8333;11,2192;48,6965;1,0405;-;Nie;0,0007941575;
