Kod;Elementarne grupy zawodów;Bezrobotni ogółem - napływ w okresie;Bezrobotni ogółem - odpływ w okresie;Bezrobotni ogółem - stan na koniec okresu;Bezrobotni długotrwale - stan na koniec okresu;Napływ ofert pracy w okresie - PUP;Napływ ofert pracy w okresie - Internet;Odsetek ofert subsydiowanych (%);Odsetek wolnych miejsc pracy i miejsc aktywizacji zawodowej (%);Średniomiesięczna liczba bezrobotnych;Średniomiesięczna liczba ofert pracy;Wskaźnik dostępności ofert pracy;Wskaźnik długotrwałego bezrobocia;Wskaźnik płynności bezrobotnych;Deficyt/ równowaga/ nadwyżka- rok;Czy uwzględniono w dalszej analizie;Wartość wskaźnika struktury sumy bezrobotnych i ofert pracy
0110;Oficerowie sił zbrojnych;38;42;48;26;0;0;;0,00;50;0;;54,1667;1,1053;-;Nie;0,0000325708
0210;Podoficerowie sił zbrojnych;3;6;9;5;0;0;;0,00;11;0;;55,5556;2,0000;-;Nie;0,0000072260
0310;Żołnierze szeregowi;668;745;747;329;0;0;;0,00;836;0;;44,0428;1,1153;-;Nie;0,0005411935
1111;Przedstawiciele władz publicznych;12;10;19;6;1;6;0,00;0,00;16;1;13,2857;31,5789;0,8333;-;Nie;0,0000107850
1112;Wyżsi urzędnicy administracji rządowej;19;21;16;6;0;5;0,00;0,00;18;1;21,0000;37,5000;1,1053;-;Nie;0,0000118635
1113;Wyżsi urzędnicy władz samorządowych;27;25;26;7;5;0;0,00;0,00;26;1;31,0000;26,9231;0,9259;-;Nie;0,0000172561
1114;Zawodowi działacze organizacji członkowskich;4;3;2;0;1;0;0,00;0,00;2;0;14,0000;0,0000;0,7500;-;Nie;0,0000016178
1120;Dyrektorzy generalni i zarządzający;1291;1296;2298;1119;358;1063;0,14;0,24;2364;237;9,9831;48,6945;1,0039;-;Nie;0,0016832217
1211;Kierownicy do spraw finansowych;253;264;366;123;279;592;0,11;0,15;391;145;2,6912;33,6066;1,0435;-;Nie;0,0003467391
1212;Kierownicy do spraw zarządzania zasobami ludzkimi;149;160;235;99;109;256;0,00;0,06;247;61;4,0630;42,1277;1,0738;-;Nie;0,0001993076
1213;Kierownicy do spraw strategii i planowania;448;485;767;350;75;211;0,00;0,05;797;48;16,7098;45,6323;1,0826;-;Nie;0,0005462624
1219;Kierownicy do spraw obsługi biznesu i zarządzania gdzie indziej niesklasyfikowani;505;477;801;367;246;894;0,18;0,19;831;190;4,3746;45,8177;0,9446;-;Nie;0,0006607996
1221;Kierownicy do spraw marketingu i sprzedaży;1054;1154;1601;663;462;1979;0,12;0,41;1739;407;4,2732;41,4116;1,0949;-;Nie;0,0013882508
1222;Kierownicy do spraw reklamy i public relations;53;62;72;30;9;24;3,03;0,01;81;6;14,6364;41,6667;1,1698;-;Nie;0,0000556508
1223;Kierownicy do spraw badań i rozwoju;47;58;81;37;64;103;0,60;0,03;88;28;3,1737;45,6790;1,2340;-;Nie;0,0000751718
1311;Kierownicy produkcji w rolnictwie i leśnictwie;37;31;45;18;28;28;0,00;0,01;44;9;4,6607;40,0000;0,8378;-;Nie;0,0000341886
1312;Kierownicy produkcji w zakładach akwakultury i rybołówstwie;3;3;2;1;2;0;0,00;0,00;2;0;5,5000;50,0000;1,0000;-;Nie;0,0000014021
1321;Kierownicy do spraw produkcji przemysłowej;291;305;454;192;528;599;0,18;0,19;476;188;2,5359;42,2907;1,0481;-;Nie;0,0004297840
1322;Kierownicy w górnictwie;13;14;16;8;1;0;0,00;0,00;17;0;103,0000;50,0000;1,0769;-;Nie;0,0000112164
1323;Kierownicy do spraw budownictwa;598;647;898;453;521;249;0,65;0,13;985;128;7,6753;50,4454;1,0819;-;Nie;0,0007204409
1324;Kierownicy do spraw logistyki i dziedzin pokrewnych;567;538;808;335;202;478;1,18;0,12;834;113;7,3559;41,4604;0,9489;-;Nie;0,0006128062
1330;Kierownicy do spraw technologii informatycznych i telekomunikacyjnych;90;97;131;63;299;149;16,74;0,08;139;75;1,8594;48,0916;1,0778;-;Nie;0,0001381564
1341;Kierownicy w instytucjach opieki nad dziećmi;22;14;19;2;18;29;2,13;0,01;15;8;1,8936;10,5263;0,6364;-;Nie;0,0000146677
1342;Kierownicy w instytucjach opieki zdrowotnej;14;20;24;10;9;40;0,00;0,01;30;8;3,6531;41,6667;1,4286;-;Nie;0,0000245899
1343;Kierownicy w instytucjach opieki nad osobami starszymi;0;0;0;0;1;0;0,00;0,00;0;0;0,0000;;;max deficyt;Nie;0,0000001079
1344;Kierownicy w instytucjach pomocy społecznej;4;7;3;2;10;6;0,00;0,00;6;3;2,0625;66,6667;1,7500;-;Nie;0,0000052847
1345;Kierownicy w instytucjach edukacyjnych;25;24;42;11;15;67;0,00;0,01;40;14;2,9268;26,1905;0,9600;-;Nie;0,0000347278
1346;Kierownicy w instytucjach finansowych i ubezpieczeniowych;89;76;127;42;42;272;0,00;0,05;125;52;2,3854;33,0709;0,8539;-;Nie;0,0001146450
1349;Kierownicy w instytucjach usług wyspecjalizowanych gdzie indziej niesklasyfikowani;296;295;600;326;32;72;0,00;0,02;603;17;34,7788;54,3333;0,9966;nadwyżka;Tak;0,0004013115
1411;Kierownicy w hotelarstwie;111;138;187;88;39;72;0,00;0,02;196;19;10,6126;47,0588;1,2432;-;Nie;0,0001390192
1412;Kierownicy w gastronomii;217;212;269;93;102;99;0,50;0,03;275;34;8,2090;34,5725;0,9770;-;Nie;0,0001996312
1420;Kierownicy w handlu detalicznym i hurtowym;664;402;705;157;489;1163;0,67;0,28;566;275;2,0563;22,2695;0,6054;-;Nie;0,0005445368
1431;Kierownicy do spraw sportu, rekreacji i rozrywki;67;60;66;17;14;24;0,00;0,01;70;6;11,0000;25,7576;0,8955;-;Nie;0,0000491798
1439;Kierownicy do spraw innych typów usług gdzie indziej niesklasyfikowani;1170;1222;2031;1038;304;196;0,60;0,08;2113;83;25,3540;51,1078;1,0444;-;Nie;0,0014211452
2111;Fizycy i astronomowie;224;233;304;153;5;10;0,00;0,00;313;3;125,0000;50,3289;1,0402;-;Nie;0,0002038373
2112;Meteorolodzy;13;11;15;5;3;6;0,00;0,00;15;2;10,1111;33,3333;0,8462;-;Nie;0,0000107850
2113;Chemicy;991;1234;1318;644;73;93;0,00;0,03;1488;28;53,7952;48,8619;1,2452;-;Nie;0,0009810075
2114;Specjaliści nauk o Ziemi;918;1123;968;436;15;11;3,85;0,00;1151;4;265,5000;45,0413;1,2233;-;Nie;0,0007472957
2120;Matematycy, aktuariusze i statystycy;549;682;710;370;8;41;0,00;0,01;788;8;96,5306;52,1127;1,2423;-;Nie;0,0005154172
2131;Biolodzy i pokrewni;1473;1884;1561;627;59;17;0,00;0,01;1851;13;146,1184;40,1666;1,2790;-;Nie;0,0012058757
2132;Specjaliści w zakresie rolnictwa, leśnictwa i pokrewni;2541;3150;3526;1829;147;29;0,00;0,03;3975;29;135,5114;51,8718;1,2397;-;Nie;0,0025912145
2133;Specjaliści do spraw ochrony środowiska;1467;1848;1556;702;73;43;1,72;0,02;1827;19;94,4828;45,1157;1,2597;-;Nie;0,0011945514
2141;Inżynierowie do spraw przemysłu i produkcji;1602;1806;1601;622;870;1807;0,15;0,45;1797;446;4,0280;38,8507;1,1273;-;Nie;0,0014516668
2142;Inżynierowie budownictwa;2616;2876;2233;795;637;394;0,78;0,17;2588;172;15,0621;35,6023;1,0994;-;Nie;0,0017860032
2143;Inżynierowie inżynierii środowiska;2169;2669;2179;960;159;71;0,43;0,04;2601;38;67,8478;44,0569;1,2305;-;Nie;0,0017078116
2144;Inżynierowie mechanicy;1632;1859;2314;1207;476;712;0,08;0,20;2512;198;12,6886;52,1608;1,1391;-;Nie;0,0017538637
2145;Inżynierowie chemicy i pokrewni;1122;1321;1321;581;84;77;0,00;0,03;1469;27;54,7391;43,9818;1,1774;-;Nie;0,0009678498
2146;Inżynierowie górnictwa i metalurgii;383;437;487;233;7;48;0,00;0,01;537;9;58,5273;47,8439;1,1410;-;Nie;0,0003531023
2149;Inżynierowie gdzie indziej niesklasyfikowani;2078;2288;2084;831;358;644;0,30;0,17;2296;167;13,7475;39,8752;1,1011;-;Nie;0,0015937058
2151;Inżynierowie elektrycy;640;668;816;404;280;458;0,41;0,13;867;123;7,0474;49,5098;1,0438;-;Nie;0,0006405237
2152;Inżynierowie elektronicy;555;578;597;243;73;207;0,00;0,05;620;47;13,2857;40,7035;1,0414;-;Nie;0,0004314017
2153;Inżynierowie telekomunikacji;176;172;276;129;68;109;0,00;0,03;273;30;9,2542;46,7391;0,9773;-;Nie;0,0001957485
2161;Architekci;1495;1579;1587;583;187;65;2,38;0,04;1759;42;41,8889;36,7360;1,0562;-;Nie;0,0011656475
2162;Architekci krajobrazu;438;493;384;124;21;0;0,00;0,00;468;4;133,6190;32,2917;1,1256;-;Nie;0,0003048932
2163;Projektanci wzornictwa przemysłowego i odzieży;315;287;431;193;139;94;2,15;0,04;438;39;11,2747;44,7796;0,9111;-;Nie;0,0003084522
2164;Urbaniści i inżynierowie ruchu drogowego;105;126;90;32;12;0;0,00;0,00;110;2;55,0833;35,5556;1,2000;-;Nie;0,0000725833
2165;Kartografowie i geodeci;1062;1100;857;276;124;25;4,03;0,03;983;25;39,5973;32,2054;1,0358;-;Nie;0,0006523873
2166;Projektanci grafiki i multimediów;1070;1046;1245;526;592;293;2,26;0,15;1334;148;9,0429;42,2490;0,9776;-;Nie;0,0009585746
2211;Lekarze bez specjalizacji, w trakcie specjalizacji lub ze specjalizacją I stopnia;203;900;202;38;66;147;0,00;0,04;326;36;9,1878;18,8119;4,4335;-;Nie;0,0002340354
2212;Lekarze specjaliści (ze specjalizacją II stopnia lub tytułem specjalisty);72;162;95;35;54;74;0,00;0,02;119;21;5,5781;36,8421;2,2500;-;Nie;0,0000908101
2221;Pielęgniarki bez specjalizacji lub w trakcie specjalizacji;1778;2190;2843;1520;987;34;0,78;0,17;3091;170;18,1665;53,4647;1,2317;-;Nie;0,0021105251
2222;Pielęgniarki z tytułem specjalisty;42;49;62;33;234;17;0,00;0,04;65;42;1,5578;53,2258;1,1667;-;Nie;0,0000692400
2231;Położne bez specjalizacji lub w trakcie specjalizacji;288;356;532;290;123;0;0,00;0,02;571;21;27,8537;54,5113;1,2361;-;Nie;0,0003827612
2232;Położne z tytułem specjalisty;14;17;13;4;34;0;0,00;0,01;17;6;3,0000;30,7692;1,2143;-;Nie;0,0000146677
2240;Specjaliści do spraw ratownictwa medycznego;52;86;59;24;10;12;0,00;0,00;72;4;19,6364;40,6780;1,6538;-;Nie;0,0000489641
2251;Lekarze weterynarii bez specjalizacji lub w trakcie specjalizacji;590;585;275;78;103;16;2,52;0,02;355;20;17,9160;28,3636;0,9915;-;Nie;0,0002427713
2252;Lekarze weterynarii specjaliści;13;11;6;0;5;17;0,00;0,00;5;4;1,4545;0,0000;0,8462;-;Nie;0,0000058239
2261;Lekarze dentyści bez specjalizacji, w trakcie specjalizacji lub ze specjalizacją I stopnia;68;73;70;19;8;6;0,00;0,00;75;2;32,2143;27,1429;1,0735;-;Nie;0,0000501505
