Tablica 1      ,,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE  Z  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
,,,,,,,
,,,,,,,w tys. z³
,Ustawa,Wykonanie,,,WskaŸniki,,
Wyszczególnienie,bud¿etowa,,,, , ,
,na 2017 rok,I , I - II ,I - III,3:2,4:2,5:2
1,2,3,4,5,6,7,8
I.     DOCHODY,325 428 002 ,36 957 428 ,60 942 487 ,0 ,"11,4%","18,7%","0,0%"
II.    WYDATKI,384 773 502 ,30 207 549 ,60 086 398 ,0 ,"7,9%","15,6%","0,0%"
III.   DEFICYT / NADWY¯KA,-59 345 500 ,6 749 878 ,856 088 ,0 , , ,"0,0%"
IV.  ŒRODKI PRZEKAZANE NA FINANSOWANIE ,,,,,,,
       BUD¯ETU ŒRODKÓW EUROPEJSKICH,0 ,0 ,0 ,0 ,,,
V.  DEFICYT / NADWY¯KA BUD¯ETU ŒRODKÓW EUROPEJSKICH,-9 634 492 ,153 233 ,173 854 ,0 , , ,"0,0%"
VI.  FINANSOWANIE   ( - III + IV )   VI.  FINANSOWANIE   ( - III + IV )   ,68 979 992 ,-6 749 878 ,-856 088 ,0 , , ,"0,0%"
      1.   Krajowe , , ,,, , , 
            (1.1 + 1.2 + 1.3 + 1.4 + 1.5 + 1.6 + 1.7+ 1.8 + 1 .9 - 1.10 - 1.11 ),58 292 240 ,-9 113 611 ,-1 165 719 ,0 , , ,"0,0%"
      1.  1.  bony skarbowe ,1 967 190 ,3 986 080 ,5 920 527 ,0 ,"202,6%","301,0%", 
      1.  2.  obligacje,60 646 390 ,3 537 891 ,16 020 167 ,0 ,"5,8%","26,4%","0,0%"
      1.  3.  œrodki przechodz¹ce z roku ubieg³ego,9 000 000 ,11 901 676 ,11 997 014 ,0 ,"132,2%","133,3%","0,0%"
      1.  4.  po¿yczki,-609 007 ,-32 776 ,-28 875 ,0 ,"5,4%","4,7%","0,0%"
      1.  5.  zarz¹dzanie p³ynnoœci¹ sektora publicznego,0 ,138 531 ,522 617 ,0 , , , 
      1.  6.  pozosta³e przychody i rozchody,31 739 ,0 ,0 ,0 ,"0,0%", ,"0,0%"
      1.  7.  przychody z prywatyzacji ,13 033 ,1 803 ,10 095 ,0 ,"13,8%","77,5%","0,0%"
      1.  8.  rozdysponowanie przychodów z prywatyzacji,-3 346 475 ,-222 460 ,-466 566 ,0 ,"6,6%","13,9%","0,0%"
                w tym: Otwarte Fundusze Emerytalne ,-3 333 442 ,-222 460 ,-466 566 ,0 ,"6,7%","14,0%","0,0%"
      1.  9.  prefinansowanie zadañ z udzia³em œrodków z UE,-410 630 ,-836 ,3 454 ,0 ,"0,2%", ,"0,0%"
      1.10.  lokaty,0 ,33 674 716 ,38 766 291 ,0 , , , 
      1.11.  œrodki na rachunkach bud¿etowych,9 000 000 ,-5 251 197 ,-3 622 140 ,0 , , , 
      2.   Zagraniczne,10 687 752 ,2 363 733 ,309 631 ,0 ,"22,1%","2,9%", 
