Tablica  3,,,,, ,,,,,,,,
DOCHODY   BUD¯ETU   PAÑSTWA,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,, ,,,,,,,,,,w tys. z³
,,,Ustawa,,Wykonanie,,,,,,WskaŸniki,,
Wyszczególnienie,,,bud¿etowa,,,,,,,,,,
,,,na 2017 rok,,I ,,I - II,,I - III,,3:2,4:2,5:2
1,,,2,,3,,4,,5,,6,7,8
D O C H O D Y   O G Ó £ E M   (1+2+3),,,325 428 002,,36 957 428,,60 942 487,,85 246 546,,"11,4%","18,7%","26,2%"
z tego:,,,0,, ,, ,, ,,,,
,1. Dochody podatkowe,,301 155 210,,35 555 703,,57 875 295,,80 237 168,,"11,8%","19,2%","26,6%"
, z tego:,,0,, ,, ,, ,,,,
,1. 1. Podatek od towarów i us³ug,,143 483 000,,21 913 287,,33 520 795,,42 397 565,,"15,3%","23,4%","29,5%"
,1. 2. Podatek akcyzowy,,69 000 000,,5 236 124,,9 912 668,,15 152 708,,"7,6%","14,4%","22,0%"
,          z tego:,,0,, ,, ,, ,,,,
,"        - od wyrobów nabytych wewn¹trzwspólnotowo,",,7 697 185,,285 431,,608 804,,1 008 581,,"3,7%","7,9%","13,1%"
,"        - od wyrobów akcyzowych w kraju,",,60 838 425,,4 922 482,,9 250 819,,14 045 917,,"8,1%","15,2%","23,1%"
,        - od wyrobów akcyzowych importowanych.,,464 390,,28 211,,53 046,,98 211,,"6,1%","11,4%","21,1%"
,1. 3. Podatek od gier,,1 709 000,,121 180,,229 883,,359 722,,"7,1%","13,5%","21,0%"
,1. 4. Podatek dochodowy od osób prawnych,,29 817 000,,2 798 826,,4 767 316,,9 770 294,,"9,4%","16,0%","32,8%"
,          w tym:,,0,, ,, ,, ,,,,
,        - od dochodów zagranicznej spó³ki kontrolowanej,,10 403,,-78,,-40,,-31,,,,
,1. 5. Podatek dochodowy od osób fizycznych,,51 000 000,,4 968 104,,8 412 169,,11 024 079,,"9,7%","16,5%","21,6%"
,          z tego:,,0,, ,, ,, ,,,,
,"        - podatek dochodowy od osób fizycznych,",,42 946 000,,4 272 560,,7 128 782,,9 130 514,,"9,9%","16,6%","21,3%"
,"        - zrycza³towany podatek dochodowy,",,8 054 000,,695 546,,1 283 389,,1 893 566,,"8,6%","15,9%","23,5%"
,        - od dochodów zagranicznej spó³ki kontrolowanej.,,0,,-2,,-2,,-1,,,,
,1. 6. Podatek od wydobycia niektórych kopalin,,1 000 000,,149 942,,306 055,,456 684,,"15,0%","30,6%","45,7%"
,1. 7. Podatek od niektórych instytucji finansowych,,3 937 000,,368 241,,726 409,,1 076 114,,"9,4%","18,5%","27,3%"
,1. 8. Pozosta³e dochody podatkowe,,1 209 210,,0,,0,,0,,,,
,1. 9. Podatek tona¿owy,,0,,0,,0,,0,,,,
,1.10. Podatki zniesione,,0,,0,,0,,0,,,,
 ,2. Dochody niepodatkowe  ,,22 476 313,,1 400 061,,3 048 859,,4 985 525,,"6,2%","13,6%","22,2%"
, z tego:,,0,, ,, ,, ,,,,
, 2. 1. Dywidendy i wp³aty z zysku,,2 440 637,,-352,,5 743,,26 393,,,"0,2%","1,1%"
 ,           z tego:,,0,, ,, ,, ,,,,
,"        - dywidendy od udzia³ów Skarbu Pañstwa w spó³kach,",,2 240 637,,0,,0,,162,,"0,0%","0,0%","0,0%"
,"        - wp³aty z zysku od przedsiêbiorstw pañstwowych i jednoosobowych spó³ek Skarbu Pañstwa,",,200 000,,-352,,5 743,,26 231,,,"2,9%","13,1%"
, 2. 2. Wp³aty z zysku z Narodowego Banku Polskiego,,627 570,,0,,0,,0,,"0,0%","0,0%","0,0%"
 , 2. 3. C³o,,3 720 000,,267 353,,547 961,,863 350,,"7,2%","14,7%","23,2%"
 , 2. 4. Dochody pañstwowych jednostek bud¿etowych i inne dochody niepodatkowe,,13 564 757,,956 175,,2 141 278,,3 564 946,,"7,0%","15,8%","26,3%"
, 2. 5. Wp³aty jednostek samorz¹du terytorialnego,,2 123 349,,176 885,,353 877,,530 835,,"8,3%","16,7%","25,0%"
,3. Œrodki z Unii Europejskiej i innych Ÿróde³ niepodlegaj¹ce zwrotowi,,1 796 479,,1 664,,18 333,,23 854,,"0,1%","1,0%","1,3%"
