Tablica 1      ,,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE  Z  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
,,,,,,,
,,,,,,,w tys. z³
,Ustawa,Wykonanie,,,WskaŸniki,,
Wyszczególnienie,bud¿etowa,,,, , ,
,na 2017 rok,I , I - II ,I - III,3:2,4:2,5:2
1,2,3,4,5,6,7,8
I.     DOCHODY,325 428 002 ,36 957 428 ,60 942 487 ,85 246 546 ,"11,4%","18,7%","26,2%"
II.    WYDATKI,384 773 502 ,30 207 549 ,60 086 398 ,87 530 833 ,"7,9%","15,6%","22,7%"
III.   DEFICYT / NADWY¯KA,-59 345 500 ,6 749 878 ,856 088 ,-2 284 287 , , ,"3,8%"
IV.  ŒRODKI PRZEKAZANE NA FINANSOWANIE ,,,,,,,
       BUD¯ETU ŒRODKÓW EUROPEJSKICH,0 ,0 ,0 ,0 ,,,
V.  DEFICYT / NADWY¯KA BUD¯ETU ŒRODKÓW EUROPEJSKICH,-9 634 492 ,153 233 ,173 854 ,-17 719 , , ,"0,2%"
VI.  FINANSOWANIE   ( - III + IV )   VI.  FINANSOWANIE   ( - III + IV )   ,68 979 992 ,-6 749 878 ,-856 088 ,2 284 287 , , ,"3,3%"
      1.   Krajowe , , ,,, , , 
            (1.1 + 1.2 + 1.3 + 1.4 + 1.5 + 1.6 + 1.7+ 1.8 + 1 .9 - 1.10 - 1.11 ),58 292 240 ,-9 113 611 ,-1 165 719 ,5 324 695 , , ,"9,1%"
      1.  1.  bony skarbowe ,1 967 190 ,3 986 080 ,5 920 527 ,5 920 527 ,"202,6%","301,0%","301,0%"
      1.  2.  obligacje,60 646 390 ,3 537 891 ,16 020 167 ,21 256 627 ,"5,8%","26,4%","35,1%"
      1.  3.  œrodki przechodz¹ce z roku ubieg³ego,9 000 000 ,11 901 676 ,11 997 014 ,12 328 037 ,"132,2%","133,3%","137,0%"
      1.  4.  po¿yczki,-609 007 ,-32 776 ,-28 875 ,-25 324 ,"5,4%","4,7%","4,2%"
      1.  5.  zarz¹dzanie p³ynnoœci¹ sektora publicznego,0 ,138 531 ,522 617 ,1 605 332 , , , 
      1.  6.  pozosta³e przychody i rozchody,31 739 ,0 ,0 ,166 262 ,"0,0%", ,"523,8%"
      1.  7.  przychody z prywatyzacji ,13 033 ,1 803 ,10 095 ,12 333 ,"13,8%","77,5%","94,6%"
      1.  8.  rozdysponowanie przychodów z prywatyzacji,-3 346 475 ,-222 460 ,-466 566 ,-836 515 ,"6,6%","13,9%","25,0%"
                w tym: Otwarte Fundusze Emerytalne ,-3 333 442 ,-222 460 ,-466 566 ,-836 515 ,"6,7%","14,0%","25,1%"
      1.  9.  prefinansowanie zadañ z udzia³em œrodków z UE,-410 630 ,-836 ,3 454 ,9 408 ,"0,2%", , 
      1.10.  lokaty,0 ,33 674 716 ,38 766 291 ,38 366 949 , , , 
      1.11.  œrodki na rachunkach bud¿etowych,9 000 000 ,-5 251 197 ,-3 622 140 ,-3 254 959 , , , 
      2.   Zagraniczne,10 687 752 ,2 363 733 ,309 631 ,-3 040 408 ,"22,1%","2,9%", 
,,,,,,,
Tablica 1      ,,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE  Z  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
,,,,,,,
,,,,,,,w tys. z³
,Ustawa,Wykonanie,,,WskaŸniki,,
Wyszczególnienie,bud¿etowa,,,, , ,
,na 2017 rok,I - IV, I - V,I - VI,3:2,4:2,5:2
1,2,3,4,5,6,7,8
I.     DOCHODY,325 428 002 ,116 896 919 ,143 331 369 ,0 ,"35,9%","44,0%","0,0%"
II.    WYDATKI,384 773 502 ,117 879 616 ,143 491 961 ,0 ,"30,6%","37,3%","0,0%"
III.   DEFICYT / NADWY¯KA,-59 345 500 ,-982 697 ,-160 592 ,0 ,"1,7%","0,3%","0,0%"
IV.  ŒRODKI PRZEKAZANE NA FINANSOWANIE ,,,,,,,
       BUD¯ETU ŒRODKÓW EUROPEJSKICH,0 ,0 ,0 ,0 ,,,
V.  DEFICYT / NADWY¯KA BUD¯ETU ŒRODKÓW EUROPEJSKICH,-9 634 492 ,-160 481 ,-225 209 ,0 ,"1,7%","2,3%","0,0%"
VI.  FINANSOWANIE   ( - III + IV )   VI.  FINANSOWANIE   ( - III + IV )   ,68 979 992 ,982 697 ,160 592 ,0 ,"1,4%","0,2%","0,0%"
      1.   Krajowe , , ,,, , , 
            (1.1 + 1.2 + 1.3 + 1.4 + 1.5 + 1.6 + 1.7+ 1.8 + 1 .9 - 1.10 - 1.11 ),58 292 240 ,4 927 686 ,6 502 035 ,0 ,"8,5%","11,2%","0,0%"
      1.  1.  bony skarbowe ,1 967 190 ,5 920 527 ,5 920 527 ,0 ,"301,0%","301,0%","0,0%"
      1.  2.  obligacje,60 646 390 ,23 349 572 ,26 795 909 ,0 ,"38,5%","44,2%","0,0%"
      1.  3.  œrodki przechodz¹ce z roku ubieg³ego,9 000 000 ,12 280 152 ,12 280 067 ,0 ,"136,4%","136,4%","0,0%"
      1.  4.  po¿yczki,-609 007 ,12 052 ,12 510 ,0 , , ,"0,0%"
      1.  5.  zarz¹dzanie p³ynnoœci¹ sektora publicznego,0 ,2 417 217 ,2 956 138 ,0 , , , 
      1.  6.  pozosta³e przychody i rozchody,31 739 ,166 262 ,166 262 ,0 ,"523,8%","523,8%","0,0%"
      1.  7.  przychody z prywatyzacji ,13 033 ,14 195 ,14 345 ,0 ,"108,9%","110,1%","0,0%"
      1.  8.  rozdysponowanie przychodów z prywatyzacji,-3 346 475 ,-1 138 454 ,-1 418 573 ,0 ,"34,0%","42,4%","0,0%"
                w tym: Otwarte Fundusze Emerytalne ,-3 333 442 ,-1 135 115 ,-1 415 125 ,0 ,"34,1%","42,5%","0,0%"
      1.  9.  prefinansowanie zadañ z udzia³em œrodków z UE,-410 630 ,11 585 ,8 672 ,0 , , , 
      1.10.  lokaty,0 ,42 028 321 ,43 671 659 ,0 , , , 
      1.11.  œrodki na rachunkach bud¿etowych,9 000 000 ,-3 922 899 ,-3 437 838 ,0 , , , 
      2.   Zagraniczne,10 687 752 ,-3 944 989 ,-6 341 443 ,0 , , , 
