Tablica 2         , ,,,,,,
,,,,,,,
ZESTAWIENIE  OGÓLNE - PORÓWNANIE  WYKONANIA  BUD¯ETU  PAÑSTWA,,,,,,,
W  LATACH  2016 - 2017,,,,,,,
,,,,,, ,
,,,,,, ,w tys. z³
,R o k     2016,,R o k     2017,,WskaŸniki,,
Wyszczególnienie,ustawa,wykonanie,ustawa,wykonanie, ,, 
,bud¿etowa,I - III ,bud¿etowa,I - III ,3:2,5:4,5:3
1,2,3 ,4 ,5 ,6 ,7 ,8 
  1.  Dochody,313 808 526 ,76 818 011 ,325 428 002 ,85 246 546 ,"24,5%","26,2%","111,0%"
  2.  Wydatki,368 548 526 ,86 405 171 ,384 773 502 ,87 530 833 ,"23,4%","22,7%","101,3%"
  3.  Deficyt / Nadwy¿ka,-54 740 000 ,-9 587 160 ,-59 345 500 ,-2 284 287 ,"17,5%","3,8%","23,8%"
  4.  Œrodki przekazane na finansowanie ,,,,, , , 
       bud¿etu œrodków europejskich, ,2 282 549 , , , , , 
  5.  Deficyt / nadwy¿ka bud¿etu œrodków europejskich,-18 211 381 ,-2 143 605 ,-9 634 492 ,-17 719 ,"11,8%","0,2%","0,8%"
  6.  Finansowanie,72 951 381 ,11 869 709 ,68 979 992 ,2 284 287 ,"16,3%","3,3%","19,2%"
  6. 1.  krajowe,63 294 329 ,14 279 646 ,58 292 240 ,5 324 695 ,"22,6%","9,1%","37,3%"
  6. 2.  zagraniczne,9 657 052 ,-2 409 937 ,10 687 752 ,-3 040 408 , , ,"126,2%"
, ,, ,, ,, 
,,,,,,,
*)  wskaŸnik powy¿ej 1000,,,,,,,
,,,,,,,
 ,,,,,,,
, ,,,,,,
